commitsha,damaging.hard,damaging.likelybad.max,damaging.likelybad.min,damaging.likelygood.max,damaging.likelygood.min,damaging.maybebad.max,damaging.maybebad.min,damaging.soft,damaging.softest,damaging.verylikelybad.max,damaging.verylikelybad.min,extension.status,goodfaith.bad.max,goodfaith.bad.min,goodfaith.good.max,goodfaith.good.min,goodfaith.likelybad.max,goodfaith.likelybad.min,goodfaith.likelygood.max,goodfaith.likelygood.min,goodfaith.maybebad.max,goodfaith.maybebad.min,goodfaith.verylikelybad.max,goodfaith.verylikelybad.min,rcfilters.enabled,rcfilters.watchlist.enabled,useOres,useOresUi,wiki.db,has.ores,rcfilters.enabled.default,extension.status.default,rcfilters.watchlist.enabled.default,commitsha.default,has.extension,has.beta.extension,has.rcfilters,has.rcfilters.watchlist,commit.dt,deploy.dt,deploy.gap,goodfaith.bad.min.value,goodfaith.verylikelybad.max.value,goodfaith.likelygood.min.value,damaging.maybebad.min.value,goodfaith.bad.max.value,damaging.likelybad.min.value,goodfaith.likelybad.min.value,damaging.verylikelybad.max.value,goodfaith.maybebad.min.value,damaging.likelybad.max.value,damaging.verylikelybad.min.value,goodfaith.likelybad.max.value,goodfaith.good.max.value,damaging.likelygood.min.value,goodfaith.verylikelybad.min.value,damaging.likelygood.max.value,damaging.maybebad.max.value,goodfaith.likelygood.max.value,goodfaith.maybebad.max.value,goodfaith.good.min.value,next.deploy.dt
c19a7d1dd4f8b720ef99cd5a33a9853a0555fa1c,,1,maximum recall @ precision >= 0.45,maximum recall @ precision >= 0.997,0,,"",,,"","","",,,,,"",,,"","",,"",,,,TRUE,,arwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-05-09 16:56:42,2018-05-09T18:04:00Z,0 days 01:07:18.000000000,,,,0.146,,0.457,,1,,1,0.51,,,0,,,1,,,,2020-01-01T00:00:00Z
cb38f9b175d3effa7f6f8e058343592231f8f7f0,,,"","",,,"",,,1,maximum recall @ precision >= 0.80,"",,,,,"",,,"",maximum recall @ precision >= 0.15,0,maximum recall @ precision >= 0.80,0,,,TRUE,,bswiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-07-09 11:45:34,2018-07-09T11:48:00Z,0 days 00:02:26.000000000,,,,0.116,,0.294,,1,0,1,0.72,,,,0,,1,,,,2020-01-01T00:00:00Z
3904582dfdc4dbca73b9c9d1676915e40fe624c2,,,"","",,,"",,,"","","",,,,,"",,1,maximum recall @ precision => 0.998,maximum recall @ precision >= 0.15,0,maximum recall @ precision >= 0.9,0,,,TRUE,,cawiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-05-09 16:13:28,2018-05-09T18:04:00Z,0 days 01:50:32.000000000,,,,0.194,,0.784,,1,0,1,0.924,,,,0,,1,1,,,2020-01-01T00:00:00Z
c1a19f963223599ed485f5282a5f25f1a1503b1a,0.45,,"","",,,"",0.8,0.88,"","","",,,,,"",,,"","",,"",,,,TRUE,,cswiki,TRUE,,"",,83721dc27d3ecadb550a759e9004c794ad0cb792,FALSE,FALSE,FALSE,FALSE,2017-02-21 16:49:30,2017-02-22T00:33:00Z,0 days 07:43:30.000000000,,,,,,,,1,,1,,,,,,,1,,,,2017-05-09T23:54:00Z
487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,0.45,,"","",,,"",0.8,0.88,1,recall_at_precision(min_precision=0.98),"",,,,,"",,,"","",,recall_at_precision(min_precision=0.98),0,,,TRUE,,cswiki,TRUE,TRUE,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,TRUE,FALSE,TRUE,FALSE,2017-05-09 16:03:15,2017-05-09T23:54:00Z,0 days 07:50:45.000000000,,,,,,,,1,,1,,,,,0,,1,,,,2018-03-14T17:18:00Z
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,"","",,,"",,,1,maximum recall @ precision >= 0.98,"",,,,,"",,,"","",,maximum recall @ precision >= 0.98,0,,,TRUE,,cswiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-03-14 16:09:06,2018-03-14T17:18:00Z,0 days 01:08:54.000000000,,,,0.181,,0.52,,1,,1,0.771,,,,0,,1,,,,2020-01-01T00:00:00Z
25d42eedf2f086480643810fd8c65a818eae7fd3,0.14,,"","",,,"",0.43,,"","","",,,,,"",,,"","",,"",,,,TRUE,,enwiki,TRUE,,"",,83721dc27d3ecadb550a759e9004c794ad0cb792,FALSE,FALSE,FALSE,FALSE,2016-08-22 10:50:01,2016-08-22T13:09:00Z,0 days 02:18:59.000000000,,,,,,,,1,,1,,,,,,,1,,,,2017-04-27T18:41:00Z
868fbd422cd1f9a8be9b4b4c85f3a0981036a851,0.17,,"",recall_at_precision(min_precision=0.99),0,1,recall_at_precision(min_precision=0.15),0.49,0.96,"","","",,,,,"",,,"",recall_at_precision(min_precision=0.15),0,recall_at_precision(min_precision=0.9),0,,,TRUE,,enwiki,TRUE,TRUE,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,TRUE,FALSE,TRUE,FALSE,2017-04-27 16:13:51,2017-04-27T18:41:00Z,0 days 02:27:09.000000000,,,,,,,,1,0,1,,,,0,0,,1,,,,2018-03-14T17:18:00Z
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,1,maximum recall @ precision >= 0.45,maximum recall @ precision >= 0.99,0,1,maximum recall @ precision >= 0.15,,,"","","",,,,,"",,1,maximum recall @ precision >= 0.99,maximum recall @ precision >= 0.15,0,maximum recall @ precision >= 0.9,0,,,TRUE,,enwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-03-14 16:09:06,2018-03-14T17:18:00Z,0 days 01:08:54.000000000,,,,0.104,,0.777,,1,0,1,0.899,,,0,0,,1,1,,,2020-01-01T00:00:00Z
27d82450bdba45256e571d0c791fd62663b0c91c,,,"","",,,"",,,"","","",,,,,"",,,"","",,recall_at_precision(min_precision=0.98),0,,,TRUE,,eswiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-02-28 16:10:27,2018-02-28T18:19:00Z,0 days 02:08:33.000000000,,0.516,,,,,,,,,,,,,0,,,,,,2020-01-01T00:00:00Z
93a86535c030d171a804914a2bb3e783d557d4ba,,,"","",,,"",,,"","","",,,,,"",,1,recall_at_precision(min_precision=0.99),"",,recall_at_precision(min_precision=0.9),0,,,TRUE,,eswikibooks,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-02-28 16:17:10,2018-02-28T18:19:00Z,0 days 02:01:50.000000000,,0.994,0.999,,,,,,,,,,,,0,,,1,,,2020-01-01T00:00:00Z
06ea37786d68d9b972b41beabc816e8abe3b29a0,,,"",maximum recall @ precision >= 0.99,0,,"",,,1,maximum recall @ precision >= 0.98,"",,,,,"",,1,maximum recall @ precision >= 0.98,maximum recall @ precision >= 0.15,0,"",,,,TRUE,TRUE,eswikiquote,TRUE,,"",,ef78f52b302c172f8991c37b802ac50e3be39e32,FALSE,FALSE,TRUE,TRUE,2019-04-04 10:11:56,2019-04-04T11:25:00Z,0 days 01:13:04.000000000,,,,0.258,,0.705,,1,0,1,0.917,,,0,,,1,1,,,2020-01-01T00:00:00Z
404754d41649366b0453f7826ec5c9cb09f07262,0.34,,"","",,,"",0.62,0.95,"","","",,,,,"",,,"","",,"",,,,TRUE,,etwiki,TRUE,,beta,,717558663463f8876b10af829a9599744c856399,FALSE,TRUE,FALSE,FALSE,2017-03-20 17:06:00,2017-03-20T18:28:00Z,0 days 01:22:00.000000000,,,,,,,,1,,1,,,,,,,1,,,,2017-05-09T23:54:00Z
487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,0.34,,"","",,,"",0.62,0.95,1,recall_at_precision(min_precision=0.98),"",,,,,"",,,"","",,recall_at_precision(min_precision=0.9),0,,,TRUE,,etwiki,TRUE,TRUE,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,TRUE,FALSE,TRUE,FALSE,2017-05-09 16:03:15,2017-05-09T23:54:00Z,0 days 07:50:45.000000000,,,,,,,,1,,1,,,,,0,,1,,,,2018-03-14T17:18:00Z
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,"","",,,"",,,1,maximum recall @ precision >= 0.98,"",,,,,"",,,"","",,maximum recall @ precision >= 0.9,0,,,TRUE,,etwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-03-14 16:09:06,2018-03-14T17:18:00Z,0 days 01:08:54.000000000,,,,0.135,,0.632,,1,,1,0.829,,,,0,,1,,,,2020-01-01T00:00:00Z
b59dc054d75966cc444880ed9e6ed797a34a46e1,,,"","",,,"",,,"","","",,,,,"",,,"","",,"",,,,TRUE,,euwiki,TRUE,FALSE,"",TRUE,b59dc054d75966cc444880ed9e6ed797a34a46e1,FALSE,FALSE,FALSE,TRUE,2018-07-18 03:05:19,2018-07-18T11:05:00Z,0 days 07:59:41.000000000,,,,,,,,,,,,,,,,,,,,,2020-01-01T00:00:00Z
83721dc27d3ecadb550a759e9004c794ad0cb792,0.12,,"","",,,"",0.45,,"","","",,,,,"",,,"","",,"",,,,TRUE,,fawiki,TRUE,,"",,83721dc27d3ecadb550a759e9004c794ad0cb792,FALSE,FALSE,FALSE,FALSE,2016-06-22 08:08:26,2016-06-22T15:13:00Z,0 days 07:04:34.000000000,,,,,,,,1,,1,,,,,,,1,,,,2017-04-11T11:09:00Z
653ef7704f549485c006186a7f77c92a06435717,0.07,1,0.941,0.495,0,1,0.33,0.37,0.9,1,0.963,on,0.042,0,1,0.381,"",,,"",0.608,0,"",,TRUE,,TRUE,,fawiki,TRUE,FALSE,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,TRUE,FALSE,TRUE,FALSE,2017-04-11 06:38:06,2017-04-11T11:09:00Z,0 days 04:30:54.000000000,0,,,0.33,0.042,0.941,,1,0,1,0.963,,1,0,,0.495,1,,0.608,0.381,2017-12-09T11:19:00Z
c7fcbedb5ce048d3b3bac1d1b1bb1699b308c5e0,,,"","",,1,recall_at_precision(min_precision=0.15),,,1,recall_at_precision(min_precision=0.6),"",,,,,recall_at_precision(min_precision=0.45),0,,"",recall_at_precision(min_precision=0.15),0,recall_at_precision(min_precision=0.75),0,,,FALSE,,fawiki,FALSE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,FALSE,FALSE,2017-12-09 03:10:52,2017-12-09T11:19:00Z,0 days 08:08:08.000000000,,,,0.394,,0.976,0,1,0,1,,,,,0,,1,,,,2017-12-11T18:56:00Z
a02677f8990f2340b22f2e15d0dc23bdb0903a31,,,"","",,1,recall_at_precision(min_precision=0.15),,,1,recall_at_precision(min_precision=0.6),"",,,,,recall_at_precision(min_precision=0.45),0,,"",recall_at_precision(min_precision=0.15),0,recall_at_precision(min_precision=0.75),0,,,TRUE,,fawiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2017-12-11 16:27:39,2017-12-11T18:56:00Z,0 days 02:28:21.000000000,,,,0.394,,0.976,0,1,0,1,,,,,0,,1,,,,2020-01-01T00:00:00Z
e1fe84e92afa60724f08790be34ef71a27cef5fe,,,"","",,,"",,,"","","",,,,,"",,,"","",,recall_at_precision(min_precision=0.9),0,,,TRUE,,fiwiki,TRUE,TRUE,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,TRUE,FALSE,TRUE,FALSE,2017-05-09 16:58:58,2017-05-09T23:54:00Z,0 days 06:55:02.000000000,,,,,,,,1,,1,,,,,0,,1,,,,2018-03-14T17:18:00Z
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,"","",,,"",,,"","","",,,,,"",,,"","",,maximum recall @ precision >= 0.9,0,,,TRUE,,fiwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-03-14 16:09:06,2018-03-14T17:18:00Z,0 days 01:08:54.000000000,,,,0.313,,0.835,,1,,1,0.914,,,,0,,1,,,,2020-01-01T00:00:00Z
653ef7704f549485c006186a7f77c92a06435717,,,"","",,,"",,,"","","",,,,,"",,,"","",,"",,TRUE,,,,frwiki,FALSE,FALSE,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,FALSE,TRUE,FALSE,FALSE,2017-04-11 06:38:06,2017-04-11T11:09:00Z,0 days 04:30:54.000000000,,,,,,,,1,,1,,,,,,,1,,,,2017-06-05T18:11:00Z
f9ff3876ed364b33883b28b634bbeb0e29735df9,0.18,,"","",,,"",0.4,0.51,"","","",,,,,"",,,"","",,recall_at_precision(min_precision=0.9),0,,,TRUE,,frwiki,TRUE,TRUE,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,TRUE,FALSE,TRUE,FALSE,2017-06-05 16:14:31,2017-06-05T18:11:00Z,0 days 01:56:29.000000000,,,,,,,,1,,1,,,,,0,,1,,,,2017-11-09T14:35:00Z
2964fb0ac581277be404596f138c92663be76453,,,"","",,,"",,,1,recall_at_precision(min_precision=0.85),"",,,,,"",,,"","",,recall_at_precision(min_precision=0.9),0,,,TRUE,,frwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2017-11-09 05:55:18,2017-11-09T14:35:00Z,0 days 08:39:42.000000000,,,,0.078,,0.752,,1,,1,,,,,0,,1,,,,2017-11-20T19:22:00Z
50cc4870cb9472eebd7780e5832fa3aa3a181110,,,"","",,,"",,,1,recall_at_precision(min_precision=0.85),"",,,,,"",,,"","",,recall_at_precision(min_precision=0.9),0,,,FALSE,,frwiki,FALSE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,FALSE,FALSE,2017-11-20 15:25:47,2017-11-20T19:22:00Z,0 days 03:56:13.000000000,,,,0.078,,0.752,,1,,1,,,,,0,,1,,,,2017-11-27T19:11:00Z
0af3ea9e27a31d7988f43c507c9c43e127e5b52b,,,"","",,,"",,,1,recall_at_precision(min_precision=0.85),"",,,,,"",,,"","",,recall_at_precision(min_precision=0.9),0,,,TRUE,,frwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2017-11-27 13:35:54,2017-11-27T19:11:00Z,0 days 05:35:06.000000000,,,,0.078,,0.752,,1,,1,,,,,0,,1,,,,2020-01-01T00:00:00Z
c29cc1be56f4558fd3d837ef816f94488970a418,0.07,,"","",,,"",0.5,0.94,"","","",,,,,"",,,"","",,"",,,,TRUE,,hewiki,TRUE,FALSE,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,FALSE,TRUE,FALSE,FALSE,2017-04-10 11:03:14,2017-04-10T13:16:00Z,0 days 02:12:46.000000000,,,,,,,,1,,1,,,,,,,1,,,,2017-05-09T23:54:00Z
487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,0.07,1,recall_at_precision(min_precision=0.45),"",,,"",0.5,0.94,1,recall_at_precision(min_precision=0.98),"",,,,,recall_at_precision(min_precision=0.45),0,,"","",,recall_at_precision(min_precision=0.99),0,,,TRUE,,hewiki,TRUE,TRUE,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,TRUE,FALSE,TRUE,FALSE,2017-05-09 16:03:15,2017-05-09T23:54:00Z,0 days 07:50:45.000000000,,,,,,,0,1,,1,,,,,0,,1,,,,2018-03-14T17:18:00Z
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,1,maximum recall @ precision >= 0.45,"",,,"",,,1,maximum recall @ precision >= 0.98,"",,,,,maximum recall @ precision >= 0.45,0,,"","",,maximum recall @ precision >= 0.99,0,,,TRUE,,hewiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-03-14 16:09:06,2018-03-14T17:18:00Z,0 days 01:08:54.000000000,,,,0.072,,0.143,0,1,,1,0.322,,,,0,,1,,,,2020-01-01T00:00:00Z
1ae686e8140f4807973c90da888a14f26cd6ce32,,,"",maximum precision @ recall >= 0.9,0,,maximum recall @ precision >= 0.15,,,"","","",,,,,maximum recall @ precision >= 0.45,0,,"","",,maximum recall @ precision >= 0.75,0,,,TRUE,,huwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-05-09 16:13:46,2018-05-09T18:04:00Z,0 days 01:50:14.000000000,,,,0.048,,0.795,0,1,,1,0.864,,,0,0,,1,,,,2020-01-01T00:00:00Z
5247e43b9008a8fedfe5104a5c07f0b6c684bb46,,1,maximum recall @ precision >= 0.45,"",,,"",,,1,maximum recall @ precision >= 0.75,"",,,,,"",,,"","",,"",,,,TRUE,TRUE,itwiki,TRUE,,"",,ef78f52b302c172f8991c37b802ac50e3be39e32,FALSE,FALSE,TRUE,TRUE,2019-02-13 16:24:09,2019-02-14T00:24:00Z,0 days 07:59:51.000000000,,,,0.14,,0.754,,1,,1,0.881,,,,,,1,,,,2020-01-01T00:00:00Z
