strata,count,fraction,weight
huwiki_false_true_false,331,1.0,1.0
trwiki_true_false_true,74,1.0,1.0
eswiki_false_true_false,3655,1.0,1.0
plwiki_false_false,51,1.0,1.0
huwiki_false_false_true,6491,1.0,1.0
simplewiki_false_false_true,6602,1.0,1.0
itwiki_true_false_false,3447,1.0,1.0
arwiki_false_false_false,26555,0.7531538316701186,1.32775
svwiki_true_false_false_false,131,1.0,1.0
eswikiquote_true_false_false_false,54,1.0,1.0
nlwiki_false_false_false,20973,0.9536070185476565,1.04865
huwiki_false_false_false,13066,1.0,1.0
sqwiki_true_false_false_false,29,1.0,1.0
srwiki_true_false_true,101,1.0,1.0
eswiki_true_false_true,2961,1.0,1.0
eswikiquote_false_false_true,275,1.0,1.0
srwiki_false_true_false,172,1.0,1.0
plwiki_true_false_false,130,1.0,1.0
lvwiki_false_false_true,1164,1.0,1.0
etwiki_false_true_false,13,1.0,1.0
testwiki_false_true_false,4,1.0,1.0
bswiki_false_false_false,724,1.0,1.0
cawiki_false_false_false,3429,1.0,1.0
zhwiki_false_true_false,187,1.0,1.0
cswiki_false_false_false,6461,1.0,1.0
cswiki_true_true_false,9,1.0,1.0
kowiki_true_true_false,1,1.0,1.0
itwiki_false_true_false,1513,1.0,1.0
zhwiki_true_false_false_false,3498,1.0,1.0
simplewiki_true_false_false_false,135,1.0,1.0
rowiki_true_true_false_false,1,1.0,1.0
cswiki_true_false_false_false,114,1.0,1.0
arwiki_false_true_false,423,1.0,1.0
hewiki_true_false_false_false,685,1.0,1.0
itwiki_false_false_true,102670,0.19479887016655303,5.1335
nlwiki_true_false_false,252,1.0,1.0
sqwiki_false_false_true,847,1.0,1.0
cawiki_false_false_true,3194,1.0,1.0
fiwiki_false_false_true,1470,1.0,1.0
nlwiki_true_false_false_false,382,1.0,1.0
bswiki_true_false_false_false,32,1.0,1.0
fiwiki_false_false_false,3547,1.0,1.0
testwiki_true_false_true,42,1.0,1.0
testwiki_true_true_false,6,1.0,1.0
trwiki_true_true_false_false,51,1.0,1.0
testwiki_false_false,3,1.0,1.0
simplewiki_false_false,17,1.0,1.0
cawiki_false_true_false,9,1.0,1.0
cswiki_false_false_true,2783,1.0,1.0
svwiki_true_false_true,69,1.0,1.0
cswiki_true_true_false_false,1,1.0,1.0
simplewiki_false_true_false,228,1.0,1.0
kowiki_false_false,40,1.0,1.0
sqwiki_false_false_false,1206,1.0,1.0
itwiki_true_false_true,26702,0.7490075649764063,1.3351
zhwiki_true_false_false,2089,1.0,1.0
lvwiki_true_true_false,13,1.0,1.0
kowiki_false_true_false,90,1.0,1.0
svwiki_false_true_false,33,1.0,1.0
arwiki_true_true_false_false,6,1.0,1.0
etwiki_false_false_true,1190,1.0,1.0
svwiki_false_false_true,4004,1.0,1.0
rowiki_false_true_false,173,1.0,1.0
zhwiki_true_true_false,3,1.0,1.0
etwiki_true_false_true,40,1.0,1.0
huwiki_true_true_false,4,1.0,1.0
kowiki_true_false_true,5634,1.0,1.0
srwiki_false_false_false,5913,1.0,1.0
arwiki_true_false_false_false,539,1.0,1.0
huwiki_true_false_false,211,1.0,1.0
srwiki_true_false_false,94,1.0,1.0
arwiki_true_false_true,254,1.0,1.0
etwiki_true_true_false_false,1,1.0,1.0
simplewiki_true_false_false,128,1.0,1.0
itwiki_false_false_false,239402,0.08354149088144627,11.9701
lvwiki_true_false_false_false,9,1.0,1.0
kowiki_false_false_true,47975,0.41688379364252215,2.39875
srwiki_false_false_true,2307,1.0,1.0
hewiki_false_false_true,5104,1.0,1.0
trwiki_true_true_false,4,1.0,1.0
bswiki_false_false_true,217,1.0,1.0
nlwiki_true_false_true,335,1.0,1.0
huwiki_true_false_false_false,183,1.0,1.0
plwiki_false_false_false,14206,1.0,1.0
enwiki_false_false_true,14554,1.0,1.0
trwiki_false_false_false,4011,1.0,1.0
nlwiki_false_true_false,109,1.0,1.0
sqwiki_false_true_false,19,1.0,1.0
eswiki_true_false_false,1330,1.0,1.0
eswikibooks_true_false_false_false,4,1.0,1.0
rowiki_false_false_true,998,1.0,1.0
eswikiquote_true_false_false,26,1.0,1.0
lvwiki_true_false_true,59,1.0,1.0
ptwiki_true_false_false_false,1382,1.0,1.0
enwiki_true_false_true,6652,1.0,1.0
svwiki_true_false_false,37,1.0,1.0
eswiki_true_true_false_false,62,1.0,1.0
enwiki_true_false,2,1.0,1.0
ptwiki_true_true_false_false,11,1.0,1.0
etwiki_true_false_false,15,1.0,1.0
arwiki_true_true_false,8,1.0,1.0
plwiki_false_false_true,7501,1.0,1.0
kowiki_true_true_false_false,1,1.0,1.0
lvwiki_true_false_false,18,1.0,1.0
testwiki_false_false_true,185,1.0,1.0
rowiki_true_false_true,76,1.0,1.0
cswiki_true_false_false,91,1.0,1.0
eswikiquote_true_false_true,202,1.0,1.0
plwiki_false_true_false,65,1.0,1.0
enwiki_true_false_false,4684,1.0,1.0
kowiki_false_false_false,67828,0.29486347820958897,3.3914
svwiki_true_true_false_false,1,1.0,1.0
fiwiki_true_false_false_false,63,1.0,1.0
ptwiki_true_true_false,38,1.0,1.0
lvwiki_false_true_false,72,1.0,1.0
trwiki_false_false_true,1061,1.0,1.0
itwiki_true_true_false_false,20,1.0,1.0
kowiki_true_false_false_false,1548,1.0,1.0
simplewiki_true_false_true,354,1.0,1.0
cawiki_true_false_false_false,63,1.0,1.0
itwiki_true_false,1,1.0,1.0
fiwiki_false_true_false,70,1.0,1.0
cswiki_false_true_false,171,1.0,1.0
eswikiquote_false_true_false,77,1.0,1.0
huwiki_true_true_false_false,5,1.0,1.0
eswikiquote_false_false_false,3607,1.0,1.0
simplewiki_true_true_false_false,4,1.0,1.0
sqwiki_true_true_false,11,1.0,1.0
hewiki_true_false_true,371,1.0,1.0
ptwiki_false_false_true,7683,1.0,1.0
rowiki_true_false_false,44,1.0,1.0
enwiki_false_true_false,3385,1.0,1.0
ptwiki_true_false,1,1.0,1.0
eswikibooks_false_false,1,1.0,1.0
arwiki_false_false_true,5360,1.0,1.0
ptwiki_false_true_false,670,1.0,1.0
test2wiki_false_false_false,1,1.0,1.0
svwiki_false_false_false,6354,1.0,1.0
itwiki_false_false,1,1.0,1.0
rowiki_false_false_false,3292,1.0,1.0
cawiki_true_false_false,68,1.0,1.0
eswiki_true_true_false,30,1.0,1.0
simplewiki_true_true_false,3,1.0,1.0
ptwiki_false_false_false,31711,0.6306959730062124,1.58555
plwiki_true_false,1,1.0,1.0
plwiki_true_false_false_false,343,1.0,1.0
zhwiki_false_false_false,182087,0.10983760510085838,9.10435
zhwiki_false_false,1,1.0,1.0
ptwiki_true_false_false,595,1.0,1.0
bswiki_true_false,1,1.0,1.0
trwiki_true_false_false,100,1.0,1.0
itwiki_true_false_false_false,4907,1.0,1.0
testwiki_false_false_false,1263,1.0,1.0
testwiki_true_true_false_false,2,1.0,1.0
hewiki_true_true_false,3,1.0,1.0
fiwiki_true_true_false_false,7,1.0,1.0
plwiki_true_false_true,240,1.0,1.0
eswikibooks_true_false_false,12,1.0,1.0
srwiki_true_false_false_false,119,1.0,1.0
sqwiki_true_false_false,24,1.0,1.0
hewiki_true_false_false,338,1.0,1.0
trwiki_true_false_false_false,186,1.0,1.0
sqwiki_true_true_false_false,2,1.0,1.0
nlwiki_false_false_true,9245,1.0,1.0
plwiki_true_true_false,1,1.0,1.0
etwiki_false_false_false,1272,1.0,1.0
svwiki_false_false,17,1.0,1.0
fiwiki_true_false_true,62,1.0,1.0
arwiki_true_false,1,1.0,1.0
enwiki_false_false,16,1.0,1.0
eswikibooks_true_false_true,104,1.0,1.0
rowiki_true_false_false_false,101,1.0,1.0
etwiki_true_false_false_false,14,1.0,1.0
simplewiki_false_false_false,5925,1.0,1.0
eswiki_false_false_false,75711,0.26416240704785304,3.7855499999999997
bswiki_true_false_false,6,1.0,1.0
enwiki_true_true_false,104,1.0,1.0
zhwiki_false_false_true,60409,0.33107649522422156,3.02045
eswiki_false_false,2,1.0,1.0
trwiki_false_true_false,325,1.0,1.0
enwiki_true_true_false_false,285,1.0,1.0
arwiki_true_false_false,929,1.0,1.0
eswiki_true_false,2,1.0,1.0
testwiki_true_false_false,173,1.0,1.0
zhwiki_true_true_false_false,1,1.0,1.0
eswiki_false_false_true,27528,0.7265329845975007,1.3764
huwiki_true_false_true,196,1.0,1.0
bswiki_false_true_false,1,1.0,1.0
cawiki_true_false_true,78,1.0,1.0
ptwiki_true_false_true,1050,1.0,1.0
itwiki_true_true_false,18,1.0,1.0
lvwiki_false_false_false,1132,1.0,1.0
enwiki_true_false_false_false,13434,1.0,1.0
eswikibooks_false_false_true,31,1.0,1.0
sqwiki_true_false_true,33,1.0,1.0
eswiki_true_false_false_false,2574,1.0,1.0
hewiki_false_false_false,29643,0.6746955436359343,1.4821499999999999
fiwiki_true_false_false,22,1.0,1.0
eswikibooks_false_false_false,341,1.0,1.0
kowiki_true_false,1,1.0,1.0
cswiki_true_false_true,126,1.0,1.0
testwiki_true_false_false_false,86,1.0,1.0
bswiki_true_false_true,34,1.0,1.0
zhwiki_true_false_true,7144,1.0,1.0
kowiki_true_false_false,1486,1.0,1.0
hewiki_false_true_false,109,1.0,1.0
enwiki_false_false_false,195177,0.1024710903436368,9.75885
