wiki_db,date,commitsha,rcfilters_enabled,extension_status,useOres,useOresUi,rcfilters_watchlist_enabled,damaging_maybebad_min,damaging_maybebad_max,damaging_verylikelybad_min,damaging_verylikelybad_max,goodfaith_maybebad_min,goodfaith_maybebad_max,goodfaith_likelybad_min,goodfaith_likelybad_max,goodfaith_verylikelybad_min,goodfaith_verylikelybad_max,damaging_likelybad_min,damaging_likelybad_max,damaging_likelygood_min,damaging_likelygood_max,goodfaith_likelygood_min,goodfaith_likelygood_max,damaging_hard,damaging_soft,damaging_softest,goodfaith_good_min,goodfaith_good_max,goodfaith_bad_min,goodfaith_bad_max,has_ores,rcfilters_enabled_default,extension_status_default,rcfilters_watchlist_enabled_default,commitsha_default,has_extension,has_beta_extension,has_rcfilters,has_rcfilters_watchlist
arwiki,2018-05-09 16:56:42,c19a7d1dd4f8b720ef99cd5a33a9853a0555fa1c,,,True,,,,,,,,,,,,,maximum recall @ prevision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.997,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
arwiki,2018-05-09 17:11:32,dd898db2236a49df839c123daec4816a0b582dc9,,,True,,,,,,,,,,,,,maximum recall @ precision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.997,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
arwiki,2018-06-16 00:00:00,dd898db2236a49df839c123daec4816a0b582dc9,True,,True,,True,,,,,,,,,,,maximum recall @ precision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.997,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
arwiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,,,,,,,,,maximum recall @ precision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.997,,,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
bswiki,2018-07-09 11:45:34,cb38f9b175d3effa7f6f8e058343592231f8f7f0,,,True,,,,,maximum recall @ precision >= 0.80,1,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.80,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
bswiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,maximum recall @ precision >= 0.80,1,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.80,,,,,,,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
cawiki,2018-05-09 16:13:28,3904582dfdc4dbca73b9c9d1676915e40fe624c2,,,True,,,,,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision => 0.998,1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
cawiki,2018-05-09 16:47:47,6656bbeabd2c84ef6db55ea16318e35bcc02e351,,,True,,,,,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision >= 0.998,1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
cawiki,2018-06-16 00:00:00,6656bbeabd2c84ef6db55ea16318e35bcc02e351,True,,True,,True,,,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision >= 0.998,1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
cawiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision >= 0.998,1.0,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
cswiki,2017-02-21 16:49:30,c1a19f963223599ed485f5282a5f25f1a1503b1a,,,True,,,,,,,,,,,,,,,,,,,0.45,0.8,0.88,,,,,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False
cswiki,2017-04-24 07:44:50,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,False,beta,True,,,,,,,,,,,,,,,,,,,0.45,0.8,0.88,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,True,False,False
cswiki,2017-04-27 16:13:51,868fbd422cd1f9a8be9b4b4c85f3a0981036a851,False,beta,True,,,,,recall_at_precision(min_precision=0.98),1,,,,,0.0,recall_at_precision(min_precision=0.98),,,,,,,0.45,0.8,0.88,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,True,False,False
cswiki,2017-05-09 16:03:15,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,,,True,,,,,recall_at_precision(min_precision=0.98),1,,,,,0.0,recall_at_precision(min_precision=0.98),,,,,,,0.45,0.8,0.88,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False
cswiki,2017-09-19 00:00:00,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,True,,True,,,,,recall_at_precision(min_precision=0.98),1,,,,,0.0,recall_at_precision(min_precision=0.98),,,,,,,0.45,0.8,0.88,,,,,True,True,,False,f28cd8d6cfc6913ab506d6a471347980987b1a25,False,False,True,False
cswiki,2018-03-14 16:09:06,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,True,,,,,maximum recall @ precision >= 0.98,1,,,,,0.0,maximum recall @ precision >= 0.98,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
cswiki,2018-06-16 00:00:00,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,,True,,True,,,maximum recall @ precision >= 0.98,1,,,,,0.0,maximum recall @ precision >= 0.98,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
cswiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,maximum recall @ precision >= 0.98,1,,,,,0.0,maximum recall @ precision >= 0.98,,,,,,,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
enwiki,2016-08-22 10:50:01,25d42eedf2f086480643810fd8c65a818eae7fd3,,,True,,,,,,,,,,,,,,,,,,,0.14,0.43,,,,,,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False
enwiki,2017-04-24 07:44:32,faa77e29375289fb63e88a5aef666fb2f887c2d4,,,True,,,0.28,1.0,0.938,1,0.0,0.663,,,,,0.879,1.0,0.0,0.398,,,0.17,0.49,0.96,0.86,1.0,0.0,0.115,True,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,False,True,False,False
enwiki,2017-04-27 16:13:51,868fbd422cd1f9a8be9b4b4c85f3a0981036a851,,,True,,,recall_at_precision(min_precision=0.15),1.0,,,0.0,recall_at_precision(min_precision=0.15),,,0.0,recall_at_precision(min_precision=0.9),,,0.0,recall_at_precision(min_precision=0.99),,,0.17,0.49,0.96,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False
enwiki,2017-05-08 11:44:51,0db678891bb20550a2992bb96df9d86ee6e337af,,,True,,,recall_at_precision(min_precision=0.15),1.0,,,0.0,recall_at_precision(min_precision=0.15),,,0.0,recall_at_precision(min_precision=0.9),recall_at_precision(min_precision=0.45),1.0,0.0,recall_at_precision(min_precision=0.99),recall_at_precision(min_precision=0.99),1.0,0.17,0.49,0.96,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False
enwiki,2017-09-19 00:00:00,0db678891bb20550a2992bb96df9d86ee6e337af,True,,True,,,recall_at_precision(min_precision=0.15),1.0,,,0.0,recall_at_precision(min_precision=0.15),,,0.0,recall_at_precision(min_precision=0.9),recall_at_precision(min_precision=0.45),1.0,0.0,recall_at_precision(min_precision=0.99),recall_at_precision(min_precision=0.99),1.0,0.17,0.49,0.96,,,,,True,True,,False,f28cd8d6cfc6913ab506d6a471347980987b1a25,False,False,True,False
enwiki,2018-03-14 16:09:06,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,True,,,maximum recall @ precision >= 0.15,1.0,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,maximum recall @ precision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.99,maximum recall @ precision >= 0.99,1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
enwiki,2018-06-16 00:00:00,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,,True,,True,maximum recall @ precision >= 0.15,1.0,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,maximum recall @ precision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.99,maximum recall @ precision >= 0.99,1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
enwiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,maximum recall @ precision >= 0.15,1.0,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,maximum recall @ precision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.99,maximum recall @ precision >= 0.99,1.0,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
eswiki,2018-02-28 16:10:27,27d82450bdba45256e571d0c791fd62663b0c91c,,,True,,,,,,,,,,,0.0,recall_at_precision(min_precision=0.98),,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
eswiki,2018-03-14 16:09:06,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,True,,,,,,,,,,,0.0,maximum recall @ precision >= 0.98,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
eswiki,2018-06-16 00:00:00,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,,True,,True,,,,,,,,,0.0,maximum recall @ precision >= 0.98,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
eswiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,,,,,,,0.0,maximum recall @ precision >= 0.98,,,,,,,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
eswikibooks,2018-02-28 16:17:10,93a86535c030d171a804914a2bb3e783d557d4ba,,,True,,,,,,,,,,,0.0,recall_at_precision(min_precision=0.9),,,,,recall_at_precision(min_precision=0.99),1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
eswikibooks,2018-03-14 16:09:06,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,True,,,,,,,,,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision >= 0.99,1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
eswikibooks,2018-06-16 00:00:00,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,,True,,True,,,,,,,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision >= 0.99,1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
eswikibooks,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,,,,,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision >= 0.99,1.0,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
eswikiquote,2019-04-04 10:11:56,06ea37786d68d9b972b41beabc816e8abe3b29a0,,,True,True,,,,maximum recall @ precision >= 0.98,1,0.0,maximum recall @ precision >= 0.15,,,,,,,0.0,maximum recall @ precision >= 0.99,maximum recall @ precision >= 0.98,1.0,,,,,,,,True,,,,ef78f52b302c172f8991c37b802ac50e3be39e32,False,False,True,True
etwiki,2017-03-20 17:06:00,404754d41649366b0453f7826ec5c9cb09f07262,,,True,,,,,,,,,,,,,,,,,,,0.34,0.62,0.95,,,,,True,,beta,,717558663463f8876b10af829a9599744c856399,False,True,False,False
etwiki,2017-04-24 07:44:50,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,False,beta,True,,,,,,,,,,,,,,,,,,,0.34,0.62,0.95,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,True,False,False
etwiki,2017-04-27 16:13:51,868fbd422cd1f9a8be9b4b4c85f3a0981036a851,False,beta,True,,,,,recall_at_precision(min_precision=0.98),1,,,,,0.0,recall_at_precision(min_precision=0.9),,,,,,,0.34,0.62,0.95,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,True,False,False
etwiki,2017-05-09 16:03:15,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,,,True,,,,,recall_at_precision(min_precision=0.98),1,,,,,0.0,recall_at_precision(min_precision=0.9),,,,,,,0.34,0.62,0.95,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False
etwiki,2017-09-19 00:00:00,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,True,,True,,,,,recall_at_precision(min_precision=0.98),1,,,,,0.0,recall_at_precision(min_precision=0.9),,,,,,,0.34,0.62,0.95,,,,,True,True,,False,f28cd8d6cfc6913ab506d6a471347980987b1a25,False,False,True,False
etwiki,2018-03-14 16:09:06,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,True,,,,,maximum recall @ precision >= 0.98,1,,,,,0.0,maximum recall @ precision >= 0.9,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
etwiki,2018-06-16 00:00:00,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,,True,,True,,,maximum recall @ precision >= 0.98,1,,,,,0.0,maximum recall @ precision >= 0.9,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
etwiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,maximum recall @ precision >= 0.98,1,,,,,0.0,maximum recall @ precision >= 0.9,,,,,,,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
euwiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,False,True
fawiki,2016-06-22 08:08:26,83721dc27d3ecadb550a759e9004c794ad0cb792,,,True,,,,,,,,,,,,,,,,,,,0.12,0.45,,,,,,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False
fawiki,2017-04-10 15:45:11,2f003068a67e7e23417eab9e4a4aa61ad5b35b48,,,True,,,0.33,1.0,0.963,1,0.0,0.608,,,,,0.941,1.0,0.0,0.495,,,0.07,0.37,0.9,0.381,1.0,0.0,0.042,True,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,False,True,False,False
fawiki,2017-04-11 06:38:06,653ef7704f549485c006186a7f77c92a06435717,True,on,True,,,0.33,1.0,0.963,1,0.0,0.608,,,,,0.941,1.0,0.0,0.495,,,0.07,0.37,0.9,0.381,1.0,0.0,0.042,True,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,True,False,True,False
fawiki,2017-04-24 07:44:50,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,,,True,,,0.33,1.0,0.963,1,0.0,0.608,,,,,0.941,1.0,0.0,0.495,,,0.07,0.37,0.9,0.381,1.0,0.0,0.042,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False
fawiki,2017-04-27 16:13:51,868fbd422cd1f9a8be9b4b4c85f3a0981036a851,,,True,,,recall_at_precision(min_precision=0.15),1.0,recall_at_precision(min_precision=0.6),1,0.0,recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.45),0.0,recall_at_precision(min_precision=0.75),,,,,,,0.07,0.37,0.9,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False
fawiki,2017-09-19 00:00:00,868fbd422cd1f9a8be9b4b4c85f3a0981036a851,True,,True,,,recall_at_precision(min_precision=0.15),1.0,recall_at_precision(min_precision=0.6),1,0.0,recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.45),0.0,recall_at_precision(min_precision=0.75),,,,,,,0.07,0.37,0.9,,,,,True,True,,False,f28cd8d6cfc6913ab506d6a471347980987b1a25,False,False,True,False
fawiki,2017-12-09 03:10:52,c7fcbedb5ce048d3b3bac1d1b1bb1699b308c5e0,,,False,,,recall_at_precision(min_precision=0.15),1.0,recall_at_precision(min_precision=0.6),1,0.0,recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.45),0.0,recall_at_precision(min_precision=0.75),,,,,,,,,,,,,,False,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,False,False
fawiki,2017-12-11 16:27:39,a02677f8990f2340b22f2e15d0dc23bdb0903a31,,,True,,,recall_at_precision(min_precision=0.15),1.0,recall_at_precision(min_precision=0.6),1,0.0,recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.45),0.0,recall_at_precision(min_precision=0.75),,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
fawiki,2018-03-14 16:09:06,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,True,,,maximum recall @ precision >= 0.15,1.0,maximum recall @ precision >= 0.6,1,0.0,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.45,0.0,maximum recall @ precision >= 0.75,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
fawiki,2018-06-16 00:00:00,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,,True,,True,maximum recall @ precision >= 0.15,1.0,maximum recall @ precision >= 0.6,1,0.0,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.45,0.0,maximum recall @ precision >= 0.75,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
fawiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,maximum recall @ precision >= 0.15,1.0,maximum recall @ precision >= 0.6,1,0.0,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.45,0.0,maximum recall @ precision >= 0.75,,,,,,,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
fiwiki,2017-05-09 16:58:58,e1fe84e92afa60724f08790be34ef71a27cef5fe,,,True,,,,,,,,,,,0.0,recall_at_precision(min_precision=0.9),,,,,,,,,,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False
fiwiki,2017-09-19 00:00:00,e1fe84e92afa60724f08790be34ef71a27cef5fe,True,,True,,,,,,,,,,,0.0,recall_at_precision(min_precision=0.9),,,,,,,,,,,,,,True,True,,False,f28cd8d6cfc6913ab506d6a471347980987b1a25,False,False,True,False
fiwiki,2018-03-14 16:09:06,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,True,,,,,,,,,,,0.0,maximum recall @ precision >= 0.9,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
fiwiki,2018-06-16 00:00:00,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,,True,,True,,,,,,,,,0.0,maximum recall @ precision >= 0.9,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
fiwiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,,,,,,,0.0,maximum recall @ precision >= 0.9,,,,,,,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
frwiki,2017-04-11 06:38:06,653ef7704f549485c006186a7f77c92a06435717,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,False,True,False,False
frwiki,2017-06-05 16:14:31,f9ff3876ed364b33883b28b634bbeb0e29735df9,,,True,,,,,,,,,,,0.0,recall_at_precision(min_precision=0.9),,,,,,,0.18,0.4,0.51,,,,,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False
frwiki,2017-09-19 00:00:00,f9ff3876ed364b33883b28b634bbeb0e29735df9,True,,True,,,,,,,,,,,0.0,recall_at_precision(min_precision=0.9),,,,,,,0.18,0.4,0.51,,,,,True,True,,False,f28cd8d6cfc6913ab506d6a471347980987b1a25,False,False,True,False
