wiki_db,commitsha,has_ores,has_rcfilters,has_rcfilters_watchlist,commit_dt,deploy_dt,deploy_gap
arwiki,c19a7d1dd4f8b720ef99cd5a33a9853a0555fa1c,True,True,True,2018-05-09 16:56:42,2018-05-09 18:04:00,0 days 01:07:18.000000000
bswiki,cb38f9b175d3effa7f6f8e058343592231f8f7f0,True,True,True,2018-07-09 11:45:34,2018-07-09 11:48:00,0 days 00:02:26.000000000
cawiki,3904582dfdc4dbca73b9c9d1676915e40fe624c2,True,True,True,2018-05-09 16:13:28,2018-05-09 18:04:00,0 days 01:50:32.000000000
cswiki,c1a19f963223599ed485f5282a5f25f1a1503b1a,True,False,False,2017-02-21 16:49:30,2017-02-22 00:33:00,0 days 07:43:30.000000000
cswiki,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,True,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000
cswiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
enwiki,25d42eedf2f086480643810fd8c65a818eae7fd3,True,False,False,2016-08-22 10:50:01,2016-08-22 13:09:00,0 days 02:18:59.000000000
enwiki,868fbd422cd1f9a8be9b4b4c85f3a0981036a851,True,True,False,2017-04-27 16:13:51,2017-04-27 18:41:00,0 days 02:27:09.000000000
enwiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
eswiki,27d82450bdba45256e571d0c791fd62663b0c91c,True,True,True,2018-02-28 16:10:27,2018-02-28 18:19:00,0 days 02:08:33.000000000
eswikibooks,93a86535c030d171a804914a2bb3e783d557d4ba,True,True,True,2018-02-28 16:17:10,2018-02-28 18:19:00,0 days 02:01:50.000000000
eswikiquote,06ea37786d68d9b972b41beabc816e8abe3b29a0,True,True,True,2019-04-04 10:11:56,2019-04-04 11:25:00,0 days 01:13:04.000000000
etwiki,404754d41649366b0453f7826ec5c9cb09f07262,True,False,False,2017-03-20 17:06:00,2017-03-20 18:28:00,0 days 01:22:00.000000000
etwiki,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,True,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000
etwiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
euwiki,b59dc054d75966cc444880ed9e6ed797a34a46e1,True,False,True,2018-07-18 03:05:19,2018-07-18 11:05:00,0 days 07:59:41.000000000
fawiki,83721dc27d3ecadb550a759e9004c794ad0cb792,True,False,False,2016-06-22 08:08:26,2016-06-22 15:13:00,0 days 07:04:34.000000000
fawiki,653ef7704f549485c006186a7f77c92a06435717,True,True,False,2017-04-11 06:38:06,2017-04-11 11:09:00,0 days 04:30:54.000000000
fawiki,c7fcbedb5ce048d3b3bac1d1b1bb1699b308c5e0,False,False,True,2017-12-09 03:10:52,2017-12-09 11:19:00,0 days 08:08:08.000000000
fawiki,a02677f8990f2340b22f2e15d0dc23bdb0903a31,True,True,True,2017-12-11 16:27:39,2017-12-11 18:56:00,0 days 02:28:21.000000000
fiwiki,e1fe84e92afa60724f08790be34ef71a27cef5fe,True,True,False,2017-05-09 16:58:58,2017-05-09 23:54:00,0 days 06:55:02.000000000
fiwiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
frwiki,653ef7704f549485c006186a7f77c92a06435717,False,False,False,2017-04-11 06:38:06,2017-04-11 11:09:00,0 days 04:30:54.000000000
frwiki,f9ff3876ed364b33883b28b634bbeb0e29735df9,True,True,False,2017-06-05 16:14:31,2017-06-05 18:11:00,0 days 01:56:29.000000000
frwiki,2964fb0ac581277be404596f138c92663be76453,True,True,True,2017-11-09 05:55:18,2017-11-09 14:35:00,0 days 08:39:42.000000000
frwiki,50cc4870cb9472eebd7780e5832fa3aa3a181110,False,False,True,2017-11-20 15:25:47,2017-11-20 19:22:00,0 days 03:56:13.000000000
frwiki,0af3ea9e27a31d7988f43c507c9c43e127e5b52b,True,True,True,2017-11-27 13:35:54,2017-11-27 19:11:00,0 days 05:35:06.000000000
hewiki,c29cc1be56f4558fd3d837ef816f94488970a418,True,False,False,2017-04-10 11:03:14,2017-04-10 13:16:00,0 days 02:12:46.000000000
hewiki,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,True,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000
hewiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
huwiki,1ae686e8140f4807973c90da888a14f26cd6ce32,True,True,True,2018-05-09 16:13:46,2018-05-09 18:04:00,0 days 01:50:14.000000000
itwiki,5247e43b9008a8fedfe5104a5c07f0b6c684bb46,True,True,True,2019-02-13 16:24:09,2019-02-14 00:24:00,0 days 07:59:51.000000000
kowiki,5574c85114269ad038dc5332381b38050d9d3e40,False,True,True,2019-03-04 11:26:06,2019-03-04 16:27:00,0 days 05:00:54.000000000
kowiki,70efd20585c5ec6846d789a1279f9421debc4a1c,True,True,True,2019-03-04 16:03:10,2019-03-04 16:27:00,0 days 00:23:50.000000000
lvwiki,1a40cea4dccd7b480ec93bf76ae718c052550ea4,True,True,True,2018-05-09 16:13:37,2018-05-09 18:04:00,0 days 01:50:23.000000000
mediawikiwiki,d420380844eec11ee1883cd7d41f08e8f85ebc90,False,False,False,2017-03-28 06:02:38,2017-03-28 13:22:00,0 days 07:19:22.000000000
nlwiki,ff109eed837bd1355994a3c4f3293716b410db1b,True,False,False,2016-07-05 16:26:23,2016-07-05 23:22:00,0 days 06:55:37.000000000
nlwiki,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,True,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000
nlwiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
plwiki,9cf08184d45ba9f6de8f8dbc212535e5f6324b80,True,False,False,2016-08-16 08:15:45,2016-08-16 15:27:00,0 days 07:11:15.000000000
plwiki,d420380844eec11ee1883cd7d41f08e8f85ebc90,True,True,False,2017-03-28 06:02:38,2017-03-28 13:22:00,0 days 07:19:22.000000000
plwiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
ptwiki,cfe1a0ab37369f02c5b7e5832d00d7d553cddf56,True,False,False,2016-07-07 16:31:26,2016-07-07 23:23:00,0 days 06:51:34.000000000
ptwiki,d420380844eec11ee1883cd7d41f08e8f85ebc90,True,True,False,2017-03-28 06:02:38,2017-03-28 13:22:00,0 days 07:19:22.000000000
ptwiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
rowiki,05953ea411652f54149ee42c747e22ca76d8d7a6,True,True,False,2017-07-24 16:00:56,2017-07-24 18:20:00,0 days 02:19:04.000000000
rowiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
ruwiki,2b6591969c07645c38d2649258b4a3893b7c5ec4,True,False,False,2016-07-06 16:43:03,2016-07-06 23:32:00,0 days 06:48:57.000000000
ruwiki,653ef7704f549485c006186a7f77c92a06435717,True,True,False,2017-04-11 06:38:06,2017-04-11 11:09:00,0 days 04:30:54.000000000
ruwiki,50cc4870cb9472eebd7780e5832fa3aa3a181110,False,False,True,2017-11-20 15:25:47,2017-11-20 19:22:00,0 days 03:56:13.000000000
ruwiki,0af3ea9e27a31d7988f43c507c9c43e127e5b52b,True,True,True,2017-11-27 13:35:54,2017-11-27 19:11:00,0 days 05:35:06.000000000
simplewiki,081fc34336792854b75381bdb079e862f8f88f40,True,True,True,2018-02-26 16:31:19,2018-02-26 19:22:00,0 days 02:50:41.000000000
sqwiki,05953ea411652f54149ee42c747e22ca76d8d7a6,True,True,False,2017-07-24 16:00:56,2017-07-24 18:20:00,0 days 02:19:04.000000000
sqwiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
srwiki,c556e8e64304c8846505c07f6adafdb301d7edec,True,True,True,2018-07-09 11:53:17,2018-07-09 11:56:00,0 days 00:02:43.000000000
svwiki,236766701c4e0bbae60e0ffd331fbff9355ae4b3,True,True,True,2018-02-26 16:42:25,2018-02-26 19:22:00,0 days 02:39:35.000000000
test2wiki,9bf5037a356260c8718088a96e12271a28fe76d9,False,False,False,2017-03-21 16:09:36,2017-03-21 17:54:00,0 days 01:44:24.000000000
test2wiki,0cca1e8e2fa584eef73a370e822eb56024a16ed7,True,True,True,2018-07-26 03:23:33,2018-07-26 10:33:00,0 days 07:09:27.000000000
testwiki,9bf5037a356260c8718088a96e12271a28fe76d9,False,False,False,2017-03-21 16:09:36,2017-03-21 17:54:00,0 days 01:44:24.000000000
testwiki,e9e8224ab5f4dc877c666ffc2b64e1dbec18b0b4,True,True,True,2018-07-18 09:01:27,2018-07-18 11:05:00,0 days 02:03:33.000000000
trwiki,7d6b0c09c03af0c47d00819057524f6573f6f7ff,True,False,False,2016-07-13 05:14:13,2016-07-13 15:30:00,0 days 10:15:47.000000000
trwiki,653ef7704f549485c006186a7f77c92a06435717,True,True,False,2017-04-11 06:38:06,2017-04-11 11:09:00,0 days 04:30:54.000000000
trwiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
wikidatawiki,83721dc27d3ecadb550a759e9004c794ad0cb792,True,False,False,2016-06-22 08:08:26,2016-06-22 15:13:00,0 days 07:04:34.000000000
wikidatawiki,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,True,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000
wikidatawiki,9f442d5cff1bea7bcfa57f1e0681e479e6d88430,False,False,True,2017-10-26 12:56:43,2017-10-26 13:21:00,0 days 00:24:17.000000000
wikidatawiki,1d6d2af399c51e82d39e40a0fbfc663b5ccdf2aa,True,True,True,2017-10-30 07:03:44,2017-10-30 13:19:00,0 days 06:15:16.000000000
wikidatawiki,1b522a63a8000dba0fe59166032602e083ec5343,False,False,True,2017-11-27 13:05:24,2017-11-27 19:11:00,0 days 06:05:36.000000000
wikidatawiki,0af3ea9e27a31d7988f43c507c9c43e127e5b52b,True,True,True,2017-11-27 13:35:54,2017-11-27 19:11:00,0 days 05:35:06.000000000
