commitsha,damaging_hard,damaging_likelybad_max,damaging_likelybad_min,damaging_likelygood_max,damaging_likelygood_min,damaging_maybebad_max,damaging_maybebad_min,damaging_soft,damaging_softest,damaging_verylikelybad_max,damaging_verylikelybad_min,extension_status,goodfaith_bad_max,goodfaith_bad_min,goodfaith_good_max,goodfaith_good_min,goodfaith_likelybad_max,goodfaith_likelybad_min,goodfaith_likelygood_max,goodfaith_likelygood_min,goodfaith_maybebad_max,goodfaith_maybebad_min,goodfaith_verylikelybad_max,goodfaith_verylikelybad_min,rcfilters_enabled,rcfilters_watchlist_enabled,useOres,useOresUi,wiki_db,has_ores,rcfilters_enabled_default,extension_status_default,rcfilters_watchlist_enabled_default,commitsha_default,has_extension,has_beta_extension,has_rcfilters,has_rcfilters_watchlist,commit_dt,deploy_dt,deploy_gap,damaging_maybebad_min_value,goodfaith_bad_min_value,goodfaith_good_min_value,damaging_likelybad_min_value,damaging_likelygood_min_value,goodfaith_maybebad_min_value,goodfaith_likelygood_max_value,goodfaith_maybebad_max_value,goodfaith_good_max_value,goodfaith_likelybad_min_value,damaging_maybebad_max_value,goodfaith_verylikelybad_min_value,damaging_likelygood_max_value,goodfaith_likelygood_min_value,damaging_verylikelybad_max_value,damaging_likelybad_max_value,goodfaith_verylikelybad_max_value,damaging_verylikelybad_min_value,goodfaith_likelybad_max_value,goodfaith_bad_max_value
5574c85114269ad038dc5332381b38050d9d3e40,,1.0,maximum recall @ precision >= 0.45,maximum recall @ precision >= 0.99,0.0,,,,,1,maximum recall @ precision >= 0.75,,,,,,,,1.0,maximum recall @ precision >= 0.99,maximum recall @ precision >= 0.15,0.0,,,,,,True,kowiki,False,,,,ef78f52b302c172f8991c37b802ac50e3be39e32,False,False,True,False,2019-03-04 11:26:06,2019-03-04 16:27:00,0 days 05:00:54.000000000,,,,0.699,0.0,0.0,1.0,0.028,,,,,0.969,0.617,1.0,1.0,,0.851,,
70efd20585c5ec6846d789a1279f9421debc4a1c,,1.0,maximum recall @ precision >= 0.45,maximum recall @ precision >= 0.99,0.0,,,,,1,maximum recall @ precision >= 0.75,,,,,,,,1.0,maximum recall @ precision >= 0.99,maximum recall @ precision >= 0.15,0.0,,,,,True,True,kowiki,True,,,,ef78f52b302c172f8991c37b802ac50e3be39e32,False,False,True,True,2019-03-04 16:03:10,2019-03-04 16:27:00,0 days 00:23:50.000000000,,,,0.699,0.0,0.0,1.0,0.028,,,,,0.969,0.617,1.0,1.0,,0.851,,
1a40cea4dccd7b480ec93bf76ae718c052550ea4,,,,maximum recall @ precision >= 0.998,0.0,,,,,,,,,,,,,,1.0,maximum recall @ precision => 0.997,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.9,0.0,,,True,,lvwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-05-09 16:13:37,2018-05-09 18:04:00,0 days 01:50:23.000000000,,,,,0.0,0.0,1.0,0.0,,,,0.0,0.958,0.958,,,0.0,,,
d420380844eec11ee1883cd7d41f08e8f85ebc90,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,mediawikiwiki,False,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,False,True,False,False,2017-03-28 06:02:38,2017-03-28 13:22:00,0 days 07:19:22.000000000,,,,,,,,,,,,,,,,,,,,
ff109eed837bd1355994a3c4f3293716b410db1b,0.3,,,,,,,0.72,,,,,,,,,,,,,,,,,,,True,,nlwiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2016-07-05 16:26:23,2016-07-05 23:22:00,0 days 06:55:37.000000000,,,,,,,,,,,,,,,,,,,,
487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,0.39,,,recall_at_precision(min_precision=0.99),0.0,,,0.75,0.95,,,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,nlwiki,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000,,,,,0.0,,,,,,,0.0,model info not implemented in this version of revscoring,,,,model info not implemented in this version of revscoring,,,
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,,maximum recall @ precision >= 0.99,0.0,,,,,,,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,,nlwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000,,,,,0.0,,,,,,,0.0,0.959,,,,0.033,,,
9cf08184d45ba9f6de8f8dbc212535e5f6324b80,0.11,,,,,,,0.4,,,,,,,,,,,,,,,,,,,True,,plwiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2016-08-16 08:15:45,2016-08-16 15:27:00,0 days 07:11:15.000000000,,,,,,,,,,,,,,,,,,,,
d420380844eec11ee1883cd7d41f08e8f85ebc90,0.19,,,,,,,0.41,0.92,,,on,,,,,,,,,,,,,True,,True,,plwiki,True,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,True,False,True,False,2017-03-28 06:02:38,2017-03-28 13:22:00,0 days 07:19:22.000000000,,,,,,,,,,,,,,,,,,,,
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,1.0,maximum recall @ precision >= 0.75,,,,,,,1,maximum recall @ precision >= 0.98,,,,,,,,,,,,maximum recall @ precision >= 0.98,0.0,,,True,,plwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000,,,,0.688,,,,,,,,0.0,,,1.0,1.0,0.462,0.913,,
cfe1a0ab37369f02c5b7e5832d00d7d553cddf56,0.22,,,,,,,0.48,,,,,,,,,,,,,,,,,,,True,,ptwiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2016-07-07 16:31:26,2016-07-07 23:23:00,0 days 06:51:34.000000000,,,,,,,,,,,,,,,,,,,,
d420380844eec11ee1883cd7d41f08e8f85ebc90,0.24,,,,,,,0.57,0.94,,,on,,,,,,,,,,,,,True,,True,,ptwiki,True,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,True,False,True,False,2017-03-28 06:02:38,2017-03-28 13:22:00,0 days 07:19:22.000000000,,,,,,,,,,,,,,,,,,,,
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,,maximum recall @ precision >= 0.99,0.0,,,,,,,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,,ptwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000,,,,,0.0,,,,,,,0.0,0.976,,,,0.041,,,
05953ea411652f54149ee42c747e22ca76d8d7a6,,,,,,,,,,,recall_at_precision(min_precision=0.75),,,,,,,,1.0,filter_rate_at_recall(min_recall=0.9),,,recall_at_precision(min_precision=0.75),0.0,,,True,,rowiki,True,True,,,eff16d3f73b609f78d5afa74f9201dd04ebc4654,False,False,True,False,2017-07-24 16:00:56,2017-07-24 18:20:00,0 days 02:19:04.000000000,,,,,,,1.0,,,,,0.0,,model info not implemented in this version of revscoring,,,model info not implemented in this version of revscoring,model info not implemented in this version of revscoring,,
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,,,,,,,,1,maximum recall @ precision >= 0.75,,,,,,,,1.0,maximum filter_rate @ recall >= 0.9,,,maximum recall @ precision >= 0.75,0.0,,,True,,rowiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000,,,,,,,1.0,,,,,0.0,,0.896,1.0,,0.031,0.924,,
2b6591969c07645c38d2649258b4a3893b7c5ec4,0.44,,,,,,,0.69,,,,,,,,,,,,,,,,,,,True,,ruwiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2016-07-06 16:43:03,2016-07-06 23:32:00,0 days 06:48:57.000000000,,,,,,,,,,,,,,,,,,,,
653ef7704f549485c006186a7f77c92a06435717,0.5,1.0,0.859,0.599,0.0,1.0,0.466,0.73,0.95,1,0.935,on,0.081,0.0,1.0,0.57,,,,,0.549,0.0,,,True,,True,,ruwiki,True,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,True,False,True,False,2017-04-11 06:38:06,2017-04-11 11:09:00,0 days 04:30:54.000000000,0.466,0.0,0.57,0.859,0.0,0.0,,0.549,1.0,,1.0,,0.599,,1.0,1.0,,0.935,,0.081
50cc4870cb9472eebd7780e5832fa3aa3a181110,,1.0,recall_at_precision(min_precision=0.45),recall_at_precision(min_precision=0.99),0.0,,,,,1,recall_at_precision(min_precision=0.75),,,,,,recall_at_precision(min_precision=0.45),0.0,,,recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.75),0.0,,,False,,ruwiki,False,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,False,False,2017-11-20 15:25:47,2017-11-20 19:22:00,0 days 03:56:13.000000000,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,
0af3ea9e27a31d7988f43c507c9c43e127e5b52b,,1.0,recall_at_precision(min_precision=0.45),recall_at_precision(min_precision=0.99),0.0,,,,,1,recall_at_precision(min_precision=0.75),,,,,,recall_at_precision(min_precision=0.45),0.0,,,recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.75),0.0,,,True,,ruwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2017-11-27 13:35:54,2017-11-27 19:11:00,0 days 05:35:06.000000000,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,
081fc34336792854b75381bdb079e862f8f88f40,,1.0,recall_at_precision(min_precision=0.45),recall_at_precision(min_precision=0.99),0.0,1.0,recall_at_precision(min_precision=0.15),,,,,,,,,,,,1.0,recall_at_precision(min_precision=0.99),recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.9),0.0,,,True,,simplewiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-02-26 16:31:19,2018-02-26 19:22:00,0 days 02:50:41.000000000,,,,,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,0.0,,1.0,1.0,,,
05953ea411652f54149ee42c747e22ca76d8d7a6,,,,filter_rate_at_recall(min_recall=0.9),0.0,,,,,,,,,,,,recall_at_precision(min_precision=0.45),0.0,1.0,filter_rate_at_recall(min_recall=0.9),recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.9),0.0,,,True,,sqwiki,True,True,,,eff16d3f73b609f78d5afa74f9201dd04ebc4654,False,False,True,False,2017-07-24 16:00:56,2017-07-24 18:20:00,0 days 02:19:04.000000000,,,,,0.0,0.0,1.0,model info not implemented in this version of revscoring,,0.0,,0.0,model info not implemented in this version of revscoring,model info not implemented in this version of revscoring,,,model info not implemented in this version of revscoring,,model info not implemented in this version of revscoring,
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,,maximum filter_rate @ recall >= 0.9,0.0,,,,,,,,,,,,maximum recall @ precision >= 0.45,0.0,1.0,maximum filter_rate @ recall >= 0.9,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.9,0.0,,,True,,sqwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000,,,,,0.0,0.0,1.0,0.064,,0.0,,0.0,0.106,0.912,,,0.064,,0.064,
c556e8e64304c8846505c07f6adafdb301d7edec,,1.0,maximum recall @ precision >= 0.45,maximum recall @ precision >= 0.999,0.0,,,,,1,maximum recall @ precision >= 0.75,,,,,,,,,,,,,,,,True,,srwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-07-09 11:53:17,2018-07-09 11:56:00,0 days 00:02:43.000000000,,,,0.642,0.0,,,,,,,,0.942,,1.0,1.0,,0.869,,
236766701c4e0bbae60e0ffd331fbff9355ae4b3,,1.0,recall_at_precision(min_precision=0.75),,,,,,,1,recall_at_precision(min_precision=0.98),,,,,,,,1.0,recall_at_precision(min_precision=0.999),,,,,,,True,,svwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-02-26 16:42:25,2018-02-26 19:22:00,0 days 02:39:35.000000000,,,,,,,1.0,,,,,,,,1.0,1.0,,,,
9bf5037a356260c8718088a96e12271a28fe76d9,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,test2wiki,False,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,False,True,False,False,2017-03-21 16:09:36,2017-03-21 17:54:00,0 days 01:44:24.000000000,,,,,,,,,,,,,,,,,,,,
0cca1e8e2fa584eef73a370e822eb56024a16ed7,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,test2wiki,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True,2018-07-26 03:23:33,2018-07-26 10:33:00,0 days 07:09:27.000000000,,,,,,,,,,,,,,,,,,,,
9bf5037a356260c8718088a96e12271a28fe76d9,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,testwiki,False,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,False,True,False,False,2017-03-21 16:09:36,2017-03-21 17:54:00,0 days 01:44:24.000000000,,,,,,,,,,,,,,,,,,,,
e9e8224ab5f4dc877c666ffc2b64e1dbec18b0b4,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,testwiki,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True,2018-07-18 09:01:27,2018-07-18 11:05:00,0 days 02:03:33.000000000,,,,,,,,,,,,,,,,,,,,
7d6b0c09c03af0c47d00819057524f6573f6f7ff,0.22,,,,,,,0.49,,,,,,,,,,,,,,,,,,,True,,trwiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2016-07-13 05:14:13,2016-07-13 15:30:00,0 days 10:15:47.000000000,,,,,,,,,,,,,,,,,,,,
653ef7704f549485c006186a7f77c92a06435717,0.2,1.0,0.882,0.155,0.0,1.0,0.105,0.58,0.92,1,0.912,on,0.11900000000000001,0.0,1.0,0.809,,,,,0.86,0.0,,,True,,True,,trwiki,True,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,True,False,True,False,2017-04-11 06:38:06,2017-04-11 11:09:00,0 days 04:30:54.000000000,0.105,0.0,0.809,0.882,0.0,0.0,,0.86,1.0,,1.0,,0.155,,1.0,1.0,,0.912,,0.11900000000000001
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,1.0,maximum recall @ precision >= 0.45,,,,,,,1,maximum recall @ precision >= 0.75,,,,,,maximum recall @ precision >= 0.45,0.0,,,,,maximum recall @ precision >= 0.75,0.0,,,True,,trwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000,,,,0.819,,,,,,0.0,,0.0,,,1.0,1.0,0.056,0.891,0.056,
83721dc27d3ecadb550a759e9004c794ad0cb792,0.8,,,,,,,0.96,,,,,,,,,,,,,,,,,,,True,,wikidatawiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2016-06-22 08:08:26,2016-06-22 15:13:00,0 days 07:04:34.000000000,,,,,,,,,,,,,,,,,,,,
487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,0.92,1.0,recall_at_precision(min_precision=0.75),,,,,0.97,0.99,,,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,wikidatawiki,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000,,,,model info not implemented in this version of revscoring,,,,,,,,0.0,,,,1.0,model info not implemented in this version of revscoring,,,
9f442d5cff1bea7bcfa57f1e0681e479e6d88430,,1.0,recall_at_precision(min_precision=0.75),,,,,,,,,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,False,,wikidatawiki,False,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,False,False,2017-10-26 12:56:43,2017-10-26 13:21:00,0 days 00:24:17.000000000,,,,,,,,,,,,0.0,,,,1.0,1.0,,,
1d6d2af399c51e82d39e40a0fbfc663b5ccdf2aa,,1.0,recall_at_precision(min_precision=0.75),,,,,,,,,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,wikidatawiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2017-10-30 07:03:44,2017-10-30 13:19:00,0 days 06:15:16.000000000,,,,,,,,,,,,0.0,,,,1.0,1.0,,,
1b522a63a8000dba0fe59166032602e083ec5343,,1.0,recall_at_precision(min_precision=0.08),,,,,,,recall_at_precision(min_precision=0.12),0,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,False,,wikidatawiki,False,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,False,False,2017-11-27 13:05:24,2017-11-27 19:11:00,0 days 06:05:36.000000000,,,,,,,,,,,,0.0,,,,1.0,1.0,0.0,,
0af3ea9e27a31d7988f43c507c9c43e127e5b52b,,1.0,recall_at_precision(min_precision=0.08),,,,,,,recall_at_precision(min_precision=0.12),0,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,wikidatawiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2017-11-27 13:35:54,2017-11-27 19:11:00,0 days 05:35:06.000000000,,,,,,,,,,,,0.0,,,,1.0,1.0,0.0,,
